pH_Condition,U_V,Current_mA_cm2
pH=2.5,-0.256422906,-4.634550517
pH=2.5,-0.252711412,-4.427177064
pH=2.5,-0.249007102,-4.323462038
pH=2.5,-0.248992735,-4.116145183
pH=2.5,-0.237879804,-3.805000106
pH=2.5,-0.235096184,-3.649470016
pH=2.5,-0.230464,-3.493911627
pH=2.5,-0.223043407,-3.11371753
pH=2.5,-0.223036224,-3.010059102
pH=2.5,-0.211928082,-2.768019644
pH=2.5,-0.208207011,-2.422434953
pH=2.5,-0.204505095,-2.353272737
pH=2.5,-0.204497911,-2.249614309
pH=2.5,-0.20079839,-2.215004903
pH=2.5,-0.198945038,-2.145870985
pH=2.5,-0.185973966,-1.696486373
pH=2.5,-0.180411514,-1.454531811
pH=2.5,-0.180406725,-1.385426193
pH=2.5,-0.167438048,-0.97059439
pH=2.5,-0.156329906,-0.728554932
pH=2.5,-0.141507877,-0.244589211
pH=2.5,-0.12669303,0.135718081
pH=2.5,-0.121132973,0.343119834
pH=2.5,-0.115582494,0.412310348
pH=2.5,-0.113726748,0.515997075
pH=2.5,-0.106325311,0.619768698
pH=2.5,-0.104469564,0.723455425
pH=2.5,-0.097068127,0.827227048
pH=2.5,-0.084109028,1.103847614
pH=2.5,-0.075774928,1.328568219
pH=2.5,-0.04893604,1.829994286
pH=2.5,-0.037832687,2.002928125
pH=2.5,-0.017484124,2.210556268
pH=2.5,-0.015630771,2.279690185
pH=2.5,-0.008234123,2.314356189
pH=2.5,0.004717792,2.487318327
pH=2.5,0.041627034,2.694937785
pH=2.5,0.082168784,2.712397797
pH=2.5,0.143431278,2.730175014
pH=2.5,0.196585654,2.747828107
pH=2.5,0.203794036,2.764777835
pH=3,-1.015336231,-13.28497333
pH=3,-1.013515756,-13.01551541
pH=3,-1.003510144,-11.63453323
pH=3,-0.98172629,-9.293526174
pH=3,-0.951819149,-6.733482847
pH=3,-0.925577465,-5.06598268
pH=3,-0.899691814,-4.195211971
pH=3,-0.864518826,-3.469065299
pH=3,-0.820943316,-3.195209901
pH=3,-0.720030638,-3.025271294
pH=3,-0.610117111,-2.973070546
pH=3,-0.542549472,-2.972036185
pH=3,-0.467774618,-2.970891492
pH=3,-0.365361233,-2.804921252
pH=3,-0.328373205,-2.562485611
pH=3,-0.304322726,-2.285695253
pH=3,-0.272245842,-1.778430204
pH=3,-0.257131681,-1.524811829
pH=3,-0.22536369,-1.0290691
pH=3,-0.192362524,-0.521789902
pH=3,-0.121109028,0.688647927
pH=3,-0.1007449,1.120869329
pH=3,-0.083157209,1.50121907
pH=3,-0.041513052,2.244741193
pH=3,0.000175046,2.542748812
pH=3,0.049737484,2.7287407
pH=3,0.114604752,2.763412479
pH=3,0.201093664,2.798415253
pH=5,-1.018937504,-13.25134971
pH=5,-1.016217294,-12.99871739
pH=5,-0.992600129,-10.20301906
pH=5,-0.960877181,-7.440875398
pH=5,-0.930999214,-5.301816974
pH=5,-0.913815561,-4.341709358
pH=5,-0.88762289,-3.381463828
pH=5,-0.864144594,-2.589653632
pH=5,-0.831651445,-1.713508542
pH=5,-0.787458241,-1.005578123
pH=5,-0.738780366,-0.58384848
pH=5,-0.665785144,-0.262782845
pH=5,-0.591897188,-0.05957919
pH=5,-0.503606472,-0.024548833
pH=5,-0.443247214,-0.0404642
pH=5,-0.387392466,-0.056448524
pH=5,-0.327032042,-0.055524495
pH=5,-0.262163607,-0.00401332
pH=5,-0.211724549,0.168969147
pH=5,-0.182338032,0.384414041
pH=5,-0.159702277,0.623270672
pH=5,-0.14037493,0.861116857
pH=5,-0.11881615,1.172421844
pH=5,-0.099075526,1.499055786
pH=5,-0.078511856,1.84681791
pH=5,-0.065558743,2.037056453
pH=5,-0.024859221,2.486865547
pH=5,0.01910332,2.677753601
pH=5,0.062347777,2.695254989
pH=5,0.142530376,2.730161222
pH=5,0.200189262,2.747883273
pH=5,0.203792869,2.747938439
pH=9,-1.032448698,-13.21787779
pH=9,-1.029733156,-13.03260306
pH=9,-1.017912904,-11.46635993
pH=9,-0.997932021,-9.142219855
pH=9,-0.97526477,-7.053789952
pH=9,-0.939976724,-4.847291194
pH=9,-0.907446232,-3.432285428
pH=9,-0.876764222,-2.69088309
pH=9,-0.826677873,-1.588815178
pH=9,-0.781163466,-1.014542393
pH=9,-0.757732368,-0.78383188
pH=9,-0.720127354,-0.529869204
pH=9,-0.684069593,-0.373829735
pH=9,-0.638770214,-0.234925178
pH=9,-0.616583862,-0.182756379
pH=9,-0.595322989,-0.147878134
pH=9,-0.569440708,-0.112929141
pH=9,-0.523224231,-0.077668863
pH=9,-0.43964244,-0.023569638
pH=9,-0.36486992,-0.056103737
pH=9,-0.317120954,-0.038533393
pH=9,-0.284759562,-0.07401832
pH=9,-0.241306351,0.099410748
pH=9,-0.196922872,0.359235988
pH=9,-0.16485836,0.687978189
pH=9,-0.154368801,0.895455404
pH=9,-0.127073758,1.310506523
pH=9,-0.108102039,1.656324679
pH=9,-0.077114059,2.010964978
pH=9,-0.061852038,2.175324288
pH=9,-0.016043522,2.508821773
pH=9,0.022706928,2.677808767
pH=9,0.084217988,2.661299221
pH=9,0.147034885,2.73023018
pH=9,0.203794036,2.764777835
pH=10.5,-1.027094224,-12.7247866
pH=10.5,-1.025959225,-12.35159928
pH=10.5,-1.020376021,-11.81018704
pH=10.5,-1.012927093,-11.02111803
pH=10.5,-1.011058177,-10.72739086
pH=10.5,-1.004535526,-9.967130006
pH=10.5,-0.999890172,-9.621531166
pH=10.5,-0.998016467,-9.25869837
pH=10.5,-0.993360039,-8.753292787
pH=10.5,-0.986837687,-7.997351038
pH=10.5,-0.981257277,-7.496250406
pH=10.5,-0.975684848,-7.110325806
pH=10.5,-0.9673284,-6.563112314
pH=10.5,-0.958044877,-5.975573062
pH=10.5,-0.94783348,-5.336190447
pH=10.5,-0.935767533,-4.610397509
pH=10.5,-0.924639039,-4.074659172
pH=10.5,-0.91166198,-3.538892537
pH=10.5,-0.905172853,-3.262371016
pH=10.5,-0.891587189,-2.836012177
pH=10.5,-0.861830747,-2.024718252
pH=10.5,-0.830177931,-1.412649618
pH=10.5,-0.808526993,-1.084066834
pH=10.5,-0.780534508,-0.830251311
pH=10.5,-0.765121832,-0.714839457
pH=10.5,-0.73583655,-0.478280529
pH=10.5,-0.712721607,-0.363902524
pH=10.5,-0.694691649,-0.270334026
pH=10.5,-0.670809185,-0.195104079
pH=10.5,-0.650223644,-0.124531641
pH=10.5,-0.523213455,0.077818779
pH=10.5,-0.499488231,0.106975955
pH=10.5,-0.47730148,0.164903556
pH=10.5,-0.45388395,0.199814816
pH=10.5,-0.439091852,0.25187042
pH=10.5,-0.416904303,0.321315624
pH=10.5,-0.388707127,0.416767406
pH=10.5,-0.358350102,0.558322616
pH=10.5,-0.333695008,0.668117162
pH=10.5,-0.315203388,0.754782173
pH=10.5,-0.259396718,0.92219484
pH=10.5,-0.206236507,1.024044914
pH=10.5,-0.158039588,1.275479709
pH=10.5,-0.115495095,1.673487888
pH=10.5,-0.093293179,1.950249948
pH=10.5,-0.066468657,2.244359159
pH=10.5,-0.037801559,2.452114646
pH=10.5,0.001081782,2.626959584
pH=10.5,0.069554991,2.69536532
pH=10.5,0.147938121,2.763922763
pH=10.5,0.203795203,2.781617231
pH=11,-1.03154663,-13.2010246
pH=11,-1.028832254,-13.03258927
pH=11,-1.018832477,-11.73580406
pH=11,-0.994307408,-8.83905556
pH=11,-0.967113475,-6.430608172
pH=11,-0.943592001,-5.015740321
pH=11,-0.896602734,-2.96061684
pH=11,-0.865913723,-2.118178124
pH=11,-0.798265562,-0.955225432
pH=11,-0.718945355,-0.364632919
pH=11,-0.671183553,-0.161829217
pH=11,-0.62582189,-0.113792254
pH=11,-0.554451063,0.122259182
pH=11,-0.535223929,0.152499257
pH=11,-0.514354274,0.258122429
pH=11,-0.492693803,0.34319058
pH=11,-0.470240178,0.441433835
pH=11,-0.449899824,0.530595203
pH=11,-0.429083031,0.635559417
pH=11,-0.410008963,0.743458619
pH=11,-0.389368611,0.874581517
pH=11,-0.37249209,0.995774576
pH=11,-0.327834918,1.358970986
pH=11,-0.285570104,1.567225973
pH=11,-0.259681538,1.692876089
pH=11,-0.236172517,1.777766868
pH=11,-0.215614035,1.838960283
pH=11,-0.192426877,1.883945908
pH=11,-0.172783557,1.917935572
pH=11,-0.150288153,1.983930212
pH=11,-0.126558938,2.070675402
pH=11,-0.104368994,2.174673416
pH=11,-0.078478732,2.324798439
pH=11,-0.055361713,2.469122212
pH=11,-0.03363391,2.573113151
pH=11,0.035233454,2.695102113
pH=11,0.093882842,2.746255879
pH=11,0.157848041,2.76407447
pH=11,0.202893134,2.764764044
pH=12,-1.038743342,-13.04958037
pH=12,-1.036152065,-12.72319763
pH=12,-1.024969693,-11.41002108
pH=12,-1.021241438,-10.96077796
pH=12,-1.017514979,-10.53744945
pH=12,-1.013789118,-10.12275914
pH=12,-1.01006206,-9.690792428
pH=12,-1.006335002,-9.258825714
pH=12,-1.002609141,-8.844135405
pH=12,-0.998883879,-8.438083298
pH=12,-0.995158616,-8.032031191
pH=12,-0.991433354,-7.625979084
pH=12,-0.987708092,-7.219926978
pH=12,-0.983055555,-6.77066971
pH=12,-0.977474746,-6.263810277
pH=12,-0.970972548,-5.798688006
pH=12,-0.964474141,-5.38827435
pH=12,-0.957975436,-4.973541592
pH=12,-0.950550353,-4.528560977
pH=12,-0.943125869,-4.092218565
pH=12,-0.935704079,-3.694748063
pH=12,-0.92735681,-3.279987006
pH=12,-0.918083822,-2.844480115
pH=12,-0.908814427,-2.460802438
pH=12,-0.898621468,-2.087476454
pH=12,-0.885654586,-1.698559258
pH=12,-0.870840787,-1.33336882
pH=12,-0.854178126,-0.963830981
pH=12,-0.834744375,-0.619576333
pH=12,-0.814129398,-0.378288815
pH=12,-0.800214205,-0.277708216
pH=12,-0.745977309,-0.09835527
pH=12,-0.695495066,0.02303177
pH=12,-0.648299175,0.081662697
pH=12,-0.627652494,0.145325517
pH=12,-0.602921674,0.236405137
pH=12,-0.583538227,0.33110498
pH=12,-0.562667318,0.454827243
pH=12,-0.54094362,0.605436939
pH=12,-0.519467241,0.786207968
pH=12,-0.498195593,0.976573855
pH=12,-0.475628993,1.180780675
pH=12,-0.4612011,1.312302081
pH=12,-0.42781752,1.610031073
pH=12,-0.377969536,1.980444745
pH=12,-0.357626275,2.111563096
pH=12,-0.337053012,2.227259622
pH=12,-0.318792363,2.315360796
pH=12,-0.295678537,2.413614157
pH=12,-0.24396819,2.555850717
pH=12,-0.158376679,2.641357888
pH=12,-0.079991216,2.743594123
pH=12,0.001091118,2.761674752
pH=12,0.141635309,2.814344411
pH=12,0.2019969,2.832107837
pH=13,-1.037864612,-13.3695151
pH=13,-1.036939204,-13.01587399
pH=13,-1.033345098,-12.23077765
pH=13,-1.030534539,-11.68652845
pH=13,-1.026795509,-11.08179769
pH=13,-1.023056877,-10.48282573
pH=13,-1.019321239,-9.927044786
pH=13,-1.014656463,-9.30118427
pH=13,-1.009995013,-8.723313768
pH=13,-1.006262967,-8.219362034
pH=13,-1.00253551,-7.781636519
pH=13,-0.99880905,-7.358308007
pH=13,-0.995084387,-6.960894103
pH=13,-0.990424666,-6.407978407
pH=13,-0.985770932,-5.941444734
pH=13,-0.981116399,-5.463393459
pH=13,-0.975538251,-4.994926036
pH=13,-0.969959969,-4.524539013
pH=13,-0.964386343,-4.121338008
pH=13,-0.957887737,-3.708044951
pH=13,-0.951392523,-3.343701708
pH=13,-0.943044456,-2.917423048
pH=13,-0.936551337,-2.583313513
pH=13,-0.926167934,-2.129361477
pH=13,-0.912452169,-1.603949365
pH=13,-0.893187841,-1.036988985
pH=13,-0.877269603,-0.739591456
pH=13,-0.841752524,-0.383154183
pH=13,-0.818083251,-0.272222969
pH=13,-0.796818786,-0.18551551
pH=13,-0.770007435,-0.08144675
pH=13,-0.729330661,0.040110656
pH=13,-0.708376884,0.089381189
pH=13,-0.687728408,0.178958616
pH=13,-0.667077338,0.305968253
pH=13,-0.641492774,0.490641369
pH=13,-0.629471126,0.577207334
pH=13,-0.605424638,0.796409677
pH=13,-0.561030783,1.205963758
pH=13,-0.544383736,1.350188486
pH=13,-0.516637726,1.604000236
pH=13,-0.490743473,1.811713275
pH=13,-0.46608359,1.99061344
pH=13,-0.44543252,2.117623077
pH=13,-0.422318294,2.22163524
pH=13,-0.396894562,2.308406371
pH=13,-0.368699781,2.369305344
pH=13,-0.347623166,2.412818961
pH=13,-0.330799644,2.436111687
pH=13,-0.306766325,2.465273578
pH=13,-0.272564312,2.51762632
pH=13,-0.239287777,2.552688507
pH=13,-0.208786483,2.553155437
pH=13,-0.173661385,2.588245923
pH=13,-0.1329894,2.64069771
pH=13,-0.094166876,2.680163895
pH=13,-0.050722346,2.728339029
pH=13,-0.01097584,2.763500262
pH=13,0.029694948,2.798675645
pH=13,0.066668609,2.83379443
pH=13,0.09255089,2.868743422
pH=13,0.112887481,2.903607518
pH=13,0.144315452,2.908641406
pH=13,0.176664512,2.910619032
pH=13,0.198404962,2.910446632
pH=13,0.202910639,2.917354985
